FUNCTION_SIGNATURE,ABSmell,LocationSmell,ConstantsSmell,NestingSmell,LOC,LOAC,LOFC,NOFL,NOFC_Dup,NOFC_NonDup,NONEST,NONEG,Smelly
"static void rgb_888_to_argb_1555(const void * src, int src_pitch, void * dst, int dst_pitch, int sx, int sy, int dx, int dy, int width, int height)","1,8703704","0,37037036","1,5",0,27,5,9,2,3,2,0,1,False
static void detach_multisample_buffer(ALLEGRO_FBO_INFO * info),"1,7857143","0,78571427",1,0,14,11,11,1,1,1,0,1,False
"static void * file_stdio_fopen(const char * path, const char * mode)","2,2586207","0,7586207","1,5",0,29,11,15,2,3,2,0,1,False
ALLEGRO_SAMPLE * _al_load_ogg_vorbis_f(ALLEGRO_FILE * file),"2,2222223","0,7222222","1,5",0,72,13,23,4,6,3,0,4,False
"static void rgb_565_to_bgr_888(const void * src, int src_pitch, void * dst, int dst_pitch, int sx, int sy, int dx, int dy, int width, int height)","2,080645","0,58064514","1,5",0,31,9,15,2,3,2,0,1,False
"static void bgr_555_to_bgr_888(const void * src, int src_pitch, void * dst, int dst_pitch, int sx, int sy, int dx, int dy, int width, int height)","2,080645","0,58064514","1,5",0,31,9,15,2,3,2,0,1,False
static void attach_depth_buffer(ALLEGRO_FBO_INFO * info),"9,227273","5,7272725","1,8333334","1,6666666",66,63,104,6,11,4,10,6,True
"static void ogl_update_transformation(ALLEGRO_DISPLAY * disp, ALLEGRO_BITMAP * target)","2,1034484","1,1034483",1,0,29,16,16,2,2,2,0,0,True
void _al_xsys_mmon_exit(ALLEGRO_SYSTEM_XGLX * s),"2,8000002","1,8000001",1,0,15,9,9,3,3,3,0,0,False
static int xfvm_get_default_adapter(ALLEGRO_SYSTEM_XGLX * s),"1,5","0,5",1,0,10,5,5,1,1,1,0,0,False
static ALLEGRO_SYSTEM * xglx_initialize(int flags),"1,1967213","0,19672132",1,0,61,6,6,2,2,2,0,0,False
"static int poly_compute_vertex_attributes(_AL_LIST * vertices, _AL_LIST_ITEM * item, int flags, _AL_LIST * reflex)","1,1515151","0,15151516",1,0,66,10,10,1,1,1,0,0,False
"static void try_const_color(ALLEGRO_DISPLAY * ogl_disp, ALLEGRO_COLOR * c)","3,8095238","2,142857","1,3333334","0,33333334",14,10,17,3,4,3,1,2,True
"static ALLEGRO_DISPLAY * gp2xwiz_create_display_ogl(int w, int h)","1,2068965","0,20689656",1,0,58,6,6,2,2,2,0,0,False
"int main(int argc, char * * argv)","1,75","0,25","1,5",0,48,6,10,2,3,2,0,1,False
static void process_rel(const struct input_event * event),"1,12","0,12",1,0,25,3,3,1,1,1,0,0,False
void _al_unlock_vertex_buffer_opengl(ALLEGRO_VERTEX_BUFFER * buf),"2,75","1,25","1,5",0,8,5,9,2,3,2,0,1,False
"static float * _al_rechannel_matrix(ALLEGRO_CHANNEL_CONF orig, ALLEGRO_CHANNEL_CONF target, float gain, float pan)","1,2241379","0,22413793",1,0,58,13,13,1,1,1,0,0,False
bool al_init_image_addon(void),"7,8776846","6,6554623",1,"0,22222222",119,88,102,9,9,9,2,0,True
static bool xrandr_query(ALLEGRO_SYSTEM_XGLX * s),"1,0689656","0,06896552",1,0,87,6,6,1,1,1,0,0,False
"void _al_xwin_mouse_motion_notify_handler(int x, int y, ALLEGRO_DISPLAY * display)","1,1935484","0,19354838",1,0,31,6,6,1,1,1,0,0,False
static bool do_make_directory(WRAP_CHAR * abs_path),"1,3076923","0,30769232",1,0,26,8,8,1,1,1,0,0,False
"static void color_ptr_on(ALLEGRO_DISPLAY * display, int n, GLint t, int stride, void * v)","2,1764708","1,1764706",1,0,17,10,10,2,2,2,0,0,False
static void load_extensions(ALLEGRO_OGL_EXT_API * ext),"8,166667",5,3,"0,16666667",36,30,104,6,18,6,1,6,True
ALLEGRO_SHADER * al_create_shader(ALLEGRO_SHADER_PLATFORM platform),"1,7407408","0,7407407",1,0,27,10,10,2,2,2,0,0,True
"static void rgb_888_to_argb_8888(const void * src, int src_pitch, void * dst, int dst_pitch, int sx, int sy, int dx, int dy, int width, int height)","1,8703704","0,37037036","1,5",0,27,5,9,2,3,2,0,1,False
int al_get_cpu_count(void),"9,666666",5,"3,3333333","1,3333334",24,20,116,6,20,7,8,6,True
"static void rgb_888_to_bgr_555(const void * src, int src_pitch, void * dst, int dst_pitch, int sx, int sy, int dx, int dy, int width, int height)","1,8703704","0,37037036","1,5",0,27,5,9,2,3,2,0,1,False
void _al_ogl_manage_extensions(ALLEGRO_DISPLAY * gl_disp),"8,861904","7,028571","1,5833334","0,25",140,82,136,12,19,8,3,6,True
void * al_get_opengl_proc_address(const char * name),"9,250958","6,362069","2,4444444","0,44444445",58,41,162,9,22,6,4,7,True
int al_get_ram_size(void),"12,525345","6,096774","4,285714","2,142857",31,27,192,7,30,9,15,9,True
static void fs_stdio_destroy_entry(ALLEGRO_FS_ENTRY * fh_),"1,2727273","0,27272728",1,0,11,3,3,1,1,1,0,0,False
bool _al_opengl_set_blender(ALLEGRO_DISPLAY * ogl_disp),"4,4736843","1,4736842","2,1666667","0,8333333",57,14,47,6,13,5,5,9,True
static void mainloop(void),"1,2197802","0,21978022",1,0,91,10,10,2,2,1,0,0,False
"static void tex_ptr_on(ALLEGRO_DISPLAY * display, int n, GLint t, int stride, void * v)","2,1764708","1,1764706",1,0,17,10,10,2,2,2,0,0,False
static void GameDraw(void),"1,6153846","0,61538464",1,0,91,28,28,2,2,2,0,0,False
